STATE,CONTAMINANT,MEDIAN_PPT
09,PFHpA,0.0
09,PFHpS,0.0
09,PFHxA,0.0
09,PFHxS,0.0
09,PFMBA,0.0
09,PFMPA,0.0
09,PFNA,0.0
09,PFOA,0.0
09,PFOS,0.0
09,PFPeA,0.0
09,PFPeS,0.0
09,PFTA,0.0
09,PFTrDA,0.0
09,PFUnA,0.0
10,11Cl-PF3OUDS,0.0
10,4:2 FTS,0.0
10,6:2 FTS,0.0
10,8:2 FTS,0.0
10,9Cl-PF3ONS,0.0
10,ADONA,0.0
10,HFPO-DA,0.0
10,NETFOSAA,0.0
10,NFDHA,0.0
10,NMEFOSAA,0.0
10,PFBA,0.0
10,PFBS,0.0
10,PFDA,0.0
10,PFDoA,0.0
10,PFEESA,0.0
10,PFHpA,0.0
10,PFHpS,0.0
10,PFHxA,0.0
10,PFHxS,0.0
10,PFMBA,0.0
10,PFMPA,0.0
10,PFNA,0.0
10,PFOA,0.0
10,PFOS,0.0
10,PFPeA,0.0
10,PFPeS,0.0
10,PFTA,0.0
10,PFTrDA,0.0
10,PFUnA,0.0
AK,11Cl-PF3OUDS,0.0
AK,4:2 FTS,0.0
AK,6:2 FTS,0.0
AK,8:2 FTS,0.0
AK,9Cl-PF3ONS,0.0
AK,ADONA,0.0
AK,HFPO-DA,0.0
AK,NETFOSAA,0.0
AK,NFDHA,0.0
AK,NMEFOSAA,0.0
AK,PFBA,0.0
AK,PFBS,0.0
AK,PFDA,0.0
AK,PFDoA,0.0
AK,PFEESA,0.0
AK,PFHpA,0.0
AK,PFHpS,0.0
AK,PFHxA,0.0
AK,PFHxS,0.0
AK,PFMBA,0.0
AK,PFMPA,0.0
AK,PFNA,0.0
AK,PFOA,0.0
AK,PFOS,0.0
AK,PFPeA,0.0
AK,PFPeS,0.0
AK,PFTA,0.0
AK,PFTrDA,0.0
AK,PFUnA,0.0
AL,11Cl-PF3OUDS,0.0
AL,4:2 FTS,0.0
AL,6:2 FTS,0.0
AL,8:2 FTS,0.0
AL,9Cl-PF3ONS,0.0
AL,ADONA,0.0
AL,HFPO-DA,0.0
AL,NETFOSAA,0.0
AL,NFDHA,0.0
AL,NMEFOSAA,0.0
AL,PFBA,0.0
AL,PFBS,0.0
AL,PFDA,0.0
AL,PFDoA,0.0
AL,PFEESA,0.0
AL,PFHpA,0.0
AL,PFHpS,0.0
AL,PFHxA,0.0
AL,PFHxS,0.0
AL,PFMBA,0.0
AL,PFMPA,0.0
AL,PFNA,0.0
AL,PFOA,0.0
AL,PFOS,0.0
AL,PFPeA,0.0
AL,PFPeS,0.0
AL,PFTA,0.0
AL,PFTrDA,0.0
AL,PFUnA,0.0
AR,11Cl-PF3OUDS,0.0
AR,4:2 FTS,0.0
AR,6:2 FTS,0.0
AR,8:2 FTS,0.0
AR,9Cl-PF3ONS,0.0
AR,ADONA,0.0
AR,HFPO-DA,0.0
AR,NETFOSAA,0.0
AR,NFDHA,0.0
AR,NMEFOSAA,0.0
AR,PFBA,0.0
AR,PFBS,0.0
AR,PFDA,0.0
AR,PFDoA,0.0
AR,PFEESA,0.0
AR,PFHpA,0.0
AR,PFHpS,0.0
AR,PFHxA,0.0
AR,PFHxS,0.0
AR,PFMBA,0.0
AR,PFMPA,0.0
AR,PFNA,0.0
AR,PFOA,0.0
AR,PFOS,0.0
